Id;nom;
;outils mathematiques 1
;environnement de base 1
;Architecture
;Initiation à l'algorithme
;Initiation au Genie Logiciel
;Traitement des donnees
;Anglais
;Comptabilite Generale
;outils mathematiques 2
;environnement de base 2
;Programmation 1
;Base de donnees et MERISE
;Programmation 2
;Negotiation Informatique
;EOE
;Techniques d'expression
